Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location,Land Type_x,Land Type_y
2018,97,105493,105493,52 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Karaoke Box,52 La Trobe Street MELBOURNE 3000,300,144.9672463479,-37.8082852646192,"-37.80828526461921, 144.96724634790002",Commercial,Commercial
2018,104,104085,104085,167-175 Franklin Street MELBOURNE 3000,Melbourne (CBD),Disco Bar,"Basement , 167 Franklin Street MELBOURNE 3000",200,144.95915618785,-37.8089772767281,"-37.80897727672806, 144.95915618785",Commercial,Commercial
2018,105,109318,109318,427-457 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Oxford Scholar Hotel,427 Swanston Street MELBOURNE 3000,486,144.9626891397,-37.808263981964096,"-37.808263981964075, 144.9626891397",Commercial,Commercial
2018,107,108561,108561,380-388 Russell Street MELBOURNE 3000,Melbourne (CBD),Blue Moon Bar,"Part Ground , 380 Russell Street MELBOURNE 3000",170,144.966105304393,-37.80749393235,"-37.80749393235, 144.96610530439278",Commercial,Commercial
2018,131,108844,108844,1-5 Spencer Street DOCKLANDS 3008,Docklands,Crown Plaza,1-5 Spencer Street DOCKLANDS 3008,60,144.955017385683,-37.8226703969,"-37.8226703969, 144.9550173856829",Commercial,Commercial
2018,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,The Beaufort,415-421 Rathdowne Street CARLTON 3053,66,144.9704268719,-37.7965204327947,"-37.796520432794665, 144.9704268719",Mixed,Mixed
2018,218,106215,106215,298 Lygon Street CARLTON 3053,Carlton,Carlton Yacht Club Bar,298 Lygon Street CARLTON 3053,46,144.967376292728,-37.7999858147,"-37.7999858147, 144.96737629272758",Mixed,Mixed
2018,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,"Ground , 200 Lygon Street CARLTON 3053",200,144.967095719023,-37.80246411715,"-37.80246411715, 144.9670957190233",Mixed,Mixed
2018,260,103276,103276,614-616 Elizabeth Street MELBOURNE 3000,Carlton,The Last Jar,614-616 Elizabeth Street MELBOURNE 3000,250,144.958909908352,-37.80388397855,"-37.80388397855, 144.95890990835184",Mixed,Mixed
2018,266,106081,106081,27-31 Lygon Street CARLTON 3053,Carlton,The Curtin,27-31 Lygon Street CARLTON 3053,283,144.965698570598,-37.8061994594,"-37.8061994594, 144.9656985705975",Mixed,Mixed
2018,270,579293,104468,230 Grattan Street PARKVILLE 3010,Parkville,University House Club,230 Grattan Street PARKVILLE 3010,611,144.9612087442,-37.7967716957783,"-37.79677169577826, 144.9612087442",Residential,Residential
2018,270,664626,104468,230 Grattan Street PARKVILLE 3010,Parkville,The Ida Bar,"Part Level 1, 230 Grattan Street PARKVILLE 3010",200,144.9612087442,-37.7967716957783,"-37.79677169577826, 144.9612087442",Residential,Residential
2018,345,103393,103393,7 Errol Street NORTH MELBOURNE 3051,North Melbourne,Joe Taylor,7 Errol Street NORTH MELBOURNE 3051,30,144.949013905176,-37.80479713245,"-37.80479713245, 144.9490139051756",Mixed,Mixed
2018,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,161-163 Errol Street NORTH MELBOURNE 3051,175,144.949637993118,-37.8011579532,"-37.8011579532, 144.94963799311807",Mixed,Mixed
2018,376,508976,110862,42 Courtney Street NORTH MELBOURNE 3051,North Melbourne,Metropolitan Hotel,42 Courtney Street NORTH MELBOURNE 3051,100,144.954098856438,-37.80143001585,"-37.80143001585, 144.95409885643846",Mixed,Mixed
2018,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE 3051,North Melbourne,The Castle Hotel,56-58 Courtney Street NORTH MELBOURNE 3051,317,144.953033827195,-37.8008983369,"-37.800898336900005, 144.9530338271951",Mixed,Mixed
2018,435,107481,107481,65-67 Peel Street WEST MELBOURNE 3003,West Melbourne (Residential),The Drunken Poet Pty Ltd,"Ground , 65 Peel Street WEST MELBOURNE 3003",50,144.955497313202,-37.8066676764,"-37.8066676764, 144.9554973132016",Residential,Residential
2018,441,108856,108856,475-477 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Hotel Spencer Bar & Grill,"Ground , 475 Spencer Street WEST MELBOURNE 3003",150,144.94925103011,-37.8095689607,"-37.809568960700005, 144.94925103011025",Residential,Residential
2018,801,559161,559161,3-7 Riverside Quay SOUTHBANK 3006,Southbank,Belgian Beer Cafe Melbourne,5 Riverside Quay SOUTHBANK 3006,638,144.9645386557,-37.8216805745809,"-37.82168057458093, 144.96453865569998",Commercial,Commercial
2018,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Lagerfield Bar & Beer Garden,8 Whiteman Street SOUTHBANK 3006,650,144.958335638819,-37.82316159555,"-37.823161595550005, 144.9583356388194",Commercial,Commercial
2018,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,The Waiting Room,"Shop 3, Ground , 8 Whiteman Street SOUTHBANK 3006",120,144.958335638819,-37.82316159555,"-37.823161595550005, 144.9583356388194",Commercial,Commercial
2018,804,110542,110484,20-30 Convention Centre Place SOUTH WHARF 3006,Southbank,Aerial Events,17 Convention Centre Place SOUTH WHARF 3006,900,144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285",Commercial,Commercial
2018,804,110988,110988,29-65 South Wharf Promenade SOUTH WHARF 3006,Southbank,Munich Brau Haus,45 South Wharf Promenade SOUTH WHARF 3006,1100,144.950614615564,-37.8241117384,"-37.824111738400006, 144.95061461556418",Commercial,Commercial
2018,904,556742,556742,419-443 Royal Parade PARKVILLE 3052,Parkville,Vibe Hotel,419-443 Royal Parade PARKVILLE 3052,69,144.95881538956,-37.78289819395,"-37.78289819395, 144.95881538955987",Residential,Residential
2018,1101,108973,108973,85-161 Spencer Street DOCKLANDS 3008,Docklands,Network Public Bar & Pizzeria,"Shop 4, Ground , 99 Spencer Street DOCKLANDS 3008",325,144.9522268972,-37.818411730415505,"-37.818411730415505, 144.9522268972",Commercial,Commercial
2018,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,E J Whitten Bar,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",70,144.947560241207,-37.81674197865,"-37.81674197865, 144.94756024120727",Commercial,Commercial
2018,1105,640970,640970,14-24 Batmans Hill Drive DOCKLANDS 3008,Docklands,Hightail,"Tenancy 40, LwrGround 0, 18-0 Batmans Hill Drive DOCKLANDS 3008",900,144.949822025254,-37.82131269085,"-37.82131269085, 144.94982202525404",Commercial,Commercial
2018,1108,604125,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Docklands,Mama Rumaan,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",60,144.943668825385,-37.81648918185,"-37.81648918185, 144.9436688253851",Commercial,Commercial
2018,1108,604125,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Docklands,Alumbra,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",690,144.943668825385,-37.81648918185,"-37.81648918185, 144.9436688253851",Commercial,Commercial
2019,6,578321,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Beer De Luxe,2 Swanston Street MELBOURNE 3000,1000,144.969941642792,-37.81777782605,"-37.817777826050005, 144.96994164279243",Commercial,Commercial
2019,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transport Hotel,"Tenancy 29, Ground , 2 Swanston Street MELBOURNE 3000",600,144.969941642792,-37.81777782605,"-37.817777826050005, 144.96994164279243",Commercial,Commercial
2019,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transit Rooftop Bar,"Tenancy 29, Level 2, 2 Swanston Street MELBOURNE 3000",200,144.969941642792,-37.81777782605,"-37.817777826050005, 144.96994164279243",Commercial,Commercial
2019,11,103984,103984,566-580 Flinders Street MELBOURNE 3000,Melbourne (CBD),UBar,8 Flinders Street MELBOURNE 3000,128,144.95533640614,-37.82071127185,"-37.82071127185, 144.95533640614002",Commercial,Commercial
