bioblitz-2016 (1)
Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Identification Notes,Data Resource Name,Sighting Date,Latitude,Longitude,Location,geopoint
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,ULOBORIDAE,Uloborus,,,Hackled Orbweaver,Bowerbird,2016-03-14,-37.8104,144.9553,,"-37.8104, 144.9553"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,,,,Jumping Spider,Bowerbird,2016-03-05,-37.8043,144.9705,,"-37.8043, 144.9705"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,OXYOPIDAE,,,,Lynx Spider,Bowerbird,2016-03-20,-37.822,144.971,,"-37.822, 144.971"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,ARANEIDAE,Argiope,,,Garden Spider,Bowerbird,2016-03-20,-37.8217,144.972,,"-37.8217, 144.972"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,,,,,,Mite,Bowerbird,2016-03-20,-37.8183,144.9747,,"-37.8183, 144.9747"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,HERSILIIDAE,,,,Two-tailed Spider,Bowerbird,2016-03-20,-37.8183,144.9748,,"-37.8183, 144.9748"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,,,,Jumping Spider,Bowerbird,2016-03-07,-37.8135,144.9762,,"-37.8135, 144.9762"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,,,,,,Mite,Bowerbird,2016-03-07,-37.814,144.9791,,"-37.814, 144.9791"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,Opisthoncus,polyphemus,Cyclops Jumping Spider,,Bowerbird,2016-03-07,-37.8121,144.9795,,"-37.8121, 144.9795"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,,,,,,Mite,Bowerbird,2016-03-07,-37.8122,144.9796,,"-37.8122, 144.9796"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,,,,,,Mite,Bowerbird,2016-03-07,-37.8122,144.9797,,"-37.8122, 144.9797"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,,,,,Spider,Participate Melbourne,2016-03-05,-37.8347,144.9828,,"-37.8347, 144.9828"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,ARANEIDAE,Celaenia,excavata,Bird Dropping Spider,,Bowerbird,2016-03-19,-37.8175,144.9867,,"-37.8175, 144.9867"
Stingray,ANIMALIA,CHORDATA,CHONDRICHTHYES,,,,,,,Bowerbird,2016-02-24,-37.8303,144.8999,,"-37.8303, 144.8999"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-20,-37.8216,144.9706,,"-37.8216, 144.9706"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,HERSILIIDAE,Tamopsis,,,Two-tailed Spider,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,,,,Jumping Spider,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ACARI,,,,,Red Mite,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Arachnid,ANIMALIA,ARTHROPODA,ARACHNIDA,ACARI,,,,,Water Mite,Handwritten,2016-03-04,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,tibicen,Australian Magpie,Also known as Gymnorhina tibicen,Participate Melbourne,2016-03-05,-37.8204,145.2496,,"-37.8204, 145.2496"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,tibicen,Australian Magpie,Also known as Gymnorhina tibicen,Bowerbird,2016-05-24,-37.787,144.9183,,"-37.787, 144.9183"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Cracticus,tibicen,Australian Magpie,Also known as Gymnorhina tibicen,Bowerbird,2016-03-13,-37.7915,144.9567,,"-37.7915, 144.9567"
